RNGSource;RNGTarget;RNGDistance;
176;1419;3,8729833;
176;1613;3,6055513;
176;1785;2,6457513;
176;3759;3,8729833;
177;1365;4,3588989;
177;3083;3,7416574;
177;3339;4,1231056;
178;1306;4,2426407;
178;1352;4,1231056;
178;2045;2,0000000;
178;3554;3,3166248;
178;3906;4,1231056;
179;238;3,4641016;
179;794;4,1231056;
179;988;2,8284271;
179;2325;3,7416574;
179;2944;4,0000000;
179;3343;3,8729833;
180;785;4,3588989;
180;1530;3,7416574;
180;2518;3,6055513;
180;2539;4,2426407;
180;2748;3,4641016;
180;2932;4,0000000;
180;3519;3,3166248;
181;415;3,6055513;
181;996;3,6055513;
181;1475;3,3166248;
181;1654;3,3166248;
181;2269;3,7416574;
181;3599;3,4641016;
181;3792;4,1231056;
182;1436;4,0000000;
182;2508;4,3588989;
182;3774;4,2426407;
183;300;3,1622777;
183;797;3,0000000;
183;1185;3,8729833;
183;2415;3,0000000;
183;3264;3,6055513;
183;3858;3,6055513;
184;1527;3,3166248;
184;1644;3,7416574;
184;1717;3,0000000;
184;1911;4,5825757;
185;204;3,8729833;
185;812;4,5825757;
185;1096;3,7416574;
185;2118;3,8729833;
185;3941;4,3588989;
186;315;3,4641016;
186;2874;4,3588989;
186;3067;2,4494897;
186;3272;3,6055513;
186;3782;3,1622777;
187;2034;3,8729833;
187;3337;4,3588989;
187;3428;4,6904158;
188;1846;3,8729833;
188;2534;3,1622777;
188;2666;3,1622777;
188;2936;4,0000000;
189;470;3,3166248;
189;870;4,3588989;
189;1309;4,1231056;
189;3242;3,8729833;
189;3620;4,7958315;
190;3805;3,4641016;
191;443;2,8284271;
191;1613;3,7416574;
191;2729;4,0000000;
191;3759;3,7416574;
192;433;3,7416574;
192;1379;3,7416574;
192;1570;4,4721360;
193;623;3,0000000;
193;1483;3,8729833;
193;1944;3,4641016;
193;2282;2,6457513;
193;3597;3,7416574;
194;257;4,5825757;
194;1766;3,6055513;
194;2149;4,0000000;
194;3735;4,2426407;
195;365;4,3588989;
195;799;4,3588989;
195;998;3,6055513;
195;1447;3,6055513;
195;1803;3,7416574;
195;2792;3,7416574;
196;372;3,6055513;
196;2756;3,1622777;
196;3054;3,6055513;
196;3626;3,1622777;
196;3636;4,0000000;
197;419;3,1622777;
197;1795;3,3166248;
197;2359;3,4641016;
197;3130;5,0000000;
198;542;3,8729833;
198;584;4,3588989;
198;1346;5,0000000;
198;1758;4,4721360;
198;1902;4,0000000;
198;2779;3,3166248;
198;2998;4,0000000;
198;3241;3,8729833;
199;2122;4,1231056;
199;2198;4,0000000;
199;3023;3,4641016;
200;1590;4,4721360;
200;2343;3,7416574;
200;2551;2,8284271;
200;2618;3,6055513;
200;3763;2,8284271;
201;758;3,1622777;
201;1587;3,8729833;
201;2225;3,3166248;
201;2797;3,7416574;
201;3023;3,6055513;
202;756;3,7416574;
202;1905;4,3588989;
202;3943;2,0000000;
203;1207;4,4721360;
203;1847;3,7416574;
203;2253;3,6055513;
203;2317;4,1231056;
203;3798;4,0000000;
204;1197;5,0000000;
204;2846;3,1622777;
205;396;3,7416574;
205;2392;3,8729833;
206;909;3,7416574;
206;919;3,4641016;
206;1775;2,6457513;
206;2003;3,7416574;
206;3069;2,4494897;
206;3317;3,1622777;
206;3373;3,4641016;
206;3596;4,5825757;
207;513;4,2426407;
207;737;2,8284271;
207;3500;4,0000000;
207;3646;2,8284271;
208;430;4,5825757;
208;2001;4,0000000;
208;2360;4,1231056;
208;2558;3,1622777;
209;378;3,7416574;
209;938;3,7416574;
209;1510;3,7416574;
209;3024;4,0000000;
209;3048;4,4721360;
210;380;4,6904158;
210;2271;4,1231056;
210;2545;3,3166248;
210;3816;3,7416574;
211;383;3,3166248;
211;650;4,3588989;
211;1343;3,0000000;
211;2353;3,6055513;
211;3032;3,8729833;
211;3051;4,1231056;
211;3583;2,8284271;
212;612;4,1231056;
212;3439;3,4641016;
213;1422;4,3588989;
213;1832;3,6055513;
213;2681;4,0000000;
213;2936;3,6055513;
213;3247;4,6904158;
213;3616;4,3588989;
214;282;3,1622777;
214;2788;4,0000000;
214;3202;3,7416574;
214;3441;3,6055513;
214;3742;4,0000000;
215;1126;3,3166248;
215;1675;4,6904158;
215;2693;3,4641016;
215;3644;4,2426407;
216;1074;3,3166248;
216;2107;3,6055513;
216;2152;3,3166248;
216;2397;3,7416574;
216;3098;3,8729833;
217;576;4,0000000;
217;1036;3,7416574;
217;1457;3,8729833;
217;2436;4,0000000;
217;2528;3,0000000;
217;3081;4,3588989;
218;766;2,8284271;
218;1052;3,0000000;
218;1850;3,1622777;
218;2095;4,1231056;
218;2627;4,1231056;
218;3237;3,3166248;
218;3611;3,7416574;
219;618;4,0000000;
219;1017;4,3588989;
219;2051;3,6055513;
219;3567;3,1622777;
220;640;3,1622777;
220;2443;3,3166248;
220;2728;4,8989795;
220;3348;4,0000000;
220;3781;4,2426407;
221;309;3,3166248;
221;1222;2,2360680;
221;2699;2,6457513;
222;385;3,4641016;
222;3674;3,8729833;
222;3812;4,0000000;
223;493;4,3588989;
223;863;3,7416574;
223;2077;4,3588989;
223;3092;4,1231056;
223;3437;4,7958315;
224;366;3,4641016;
224;517;4,2426407;
224;2206;3,3166248;
224;2778;4,5825757;
224;3040;4,0000000;
224;3709;4,3588989;
225;515;3,8729833;
225;584;3,3166248;
225;1510;3,8729833;
225;2492;3,6055513;
226;869;3,3166248;
226;2235;3,3166248;
226;3613;2,6457513;
227;2016;3,6055513;
227;3017;2,8284271;
227;3260;3,3166248;
228;739;4,2426407;
228;775;4,4721360;
228;878;3,8729833;
228;3876;3,1622777;
229;709;4,2426407;
229;1434;3,7416574;
229;1830;3,6055513;
229;2000;3,8729833;
229;2636;3,7416574;
